year,date,open,high,low,close,volume
2014,1/2/14,52.4014,52.5114,51.5429,51.8314,12325600
2014,1/3/14,52,52.4956,51.8429,51.8714,10817100
2014,1/6/14,51.89,52.0443,50.4757,51.3671,15501500
2014,1/7/14,49.6843,49.6986,48.1529,48.5,36167600
2014,1/8/14,48.1043,49.4257,48.0743,48.7129,20001100
2014,1/9/14,48.8243,49.14,47.8571,48.15,17007200
2014,1/10/14,48.2957,48.3767,47.2186,47.4486,16237900
2014,1/13/14,47.3043,49.81,47.3043,48.1157,27237000
2014,1/14/14,48.7771,48.8,47.51,48.28,19740000
2014,1/15/14,47.8571,48.3671,45.5814,47.1971,40432000
2014,1/16/14,46.9157,47.6957,46.0029,47.3829,21135800
2014,1/17/14,47.4386,47.8314,46.8914,47.1486,16417100
2014,1/21/14,47.4614,47.4961,45.75,46.9586,25220300
2014,1/22/14,47.0714,47.777,46.7644,47.6757,48342000
2014,1/23/14,55.3429,56.5186,53.9271,55.5314,91280000
2014,1/24/14,54.8114,55.8143,54.7686,55.1543,35466900
2014,1/27/14,55.3414,55.9286,52.9371,54.4614,32526900
2014,1/28/14,54.4743,58.2014,54.3943,58.11,43590400
2014,1/29/14,57.5886,58.1914,56.8643,57.2029,28968100
2014,1/30/14,58.1571,58.4557,57.3586,57.81,18379200
2014,1/31/14,57.4729,58.9143,57.4714,58.4757,23625000
2014,2/3/14,58.8429,58.8786,57.245,57.7686,20145300
2014,2/4/14,57.9214,58.3614,56.7157,57.9871,18066300
2014,2/5/14,57.5929,58.25,56.8571,57.7743,16762900
2014,2/6/14,58.06,58.7014,57.2029,58.2729,12852000
2014,2/7/14,59.0629,61.5,58.6514,61.4257,32921000
2014,2/10/14,61.3471,61.7671,60.6114,61.4914,13812400
2014,2/11/14,61.4229,62.2512,60.7871,61.9986,13667500
2014,2/12/14,62.1114,62.1286,60.7914,61.2757,15673000
2014,2/13/14,60.8129,62.7843,60.7144,62.3643,18700500
2014,2/14/14,62.4371,62.5286,61.67,62.2157,11985400
2014,2/18/14,62.4229,63.0349,61.1429,62.4071,15507800
2014,2/19/14,61.6671,62.3214,61.1386,61.1757,16031400
2014,2/20/14,61.4786,62.5386,61.3086,62.1357,11965100
2014,2/21/14,62.6714,62.6714,61.3788,61.7471,13483400
2014,2/24/14,62.21,64.2414,61.2143,63.8571,26043500
2014,2/25/14,64.2857,65.3986,63.5714,64.7186,18700500
2014,2/26/14,65.1286,65.1429,63.7143,64.1129,15010100
2014,2/27/14,63.9771,64.8752,63.9771,64.6043,10304700
2014,2/28/14,64.7329,64.8857,63,63.6614,15751400
2014,3/3/14,63.0271,63.6786,62.5857,63.6557,13528200
2014,3/4/14,64.4171,65,63.6557,64.9971,12387900
2014,3/5/14,64.8557,65.2629,64.5586,64.7857,10868900
2014,3/6/14,64.9914,65.4286,64.1411,64.3586,11809000
2014,3/7/14,64.8671,64.9343,63.6443,64.0529,11573800
2014,3/10/14,64.0671,64.1109,61.7287,62.85,15439200
2014,3/11/14,63.2343,63.8114,62.2357,62.4971,10448200
2014,3/12/14,61.9543,62.7857,61.3829,62.3686,12134500
2014,3/13/14,62.8157,62.8971,61.1829,61.4371,11390400
2014,3/14/14,61.1043,62.1414,60.4286,60.6414,14989100
2014,3/17/14,61.17,61.5429,60.33,60.3886,10695300
2014,3/18/14,60.3386,60.8943,59.5,60.0357,14688100
2014,3/19/14,59.9814,60.7784,59.58,60.0129,10531500
2014,3/20/14,59.9529,61.7429,59.9286,60.61,14494900
2014,3/21/14,60.8714,61.1914,57.9629,57.9986,26770800
2014,3/24/14,57.9271,58.0643,52.6571,54.1286,42483700
2014,3/25/14,54.1429,54.99,52.25,52.9771,30356900
2014,3/26/14,53.2871,53.9214,52.3673,53.1829,27152300
2014,3/27/14,53.0014,53.9757,51.6471,52.0257,28672000
2014,3/28/14,51.46,52.7143,50.8214,51.2671,24699500
2014,3/31/14,51.6443,52.4086,49.9829,50.29,22125600
2014,4/1/14,50.25,52.1786,50.2486,52.0986,21338800
2014,4/2/14,52.2371,53.0071,51.1857,51.84,24194100
2014,4/3/14,51.6186,52.1571,50.0143,50.67,21983500
2014,4/4/14,50.7786,50.8571,47.9829,48.1871,34958000
2014,4/7/14,48.6443,49.7414,47.3014,48.2857,37351300
2014,4/8/14,48.5786,50.1124,48.3414,49.8414,25761400
2014,4/9/14,50.1471,50.5571,49.0214,50.4329,20511400
2014,4/10/14,50.64,51.0686,47.7157,47.8186,24871000
2014,4/11/14,47.2571,47.8314,46.23,46.6729,30146200
2014,4/14/14,47.5557,47.8571,46.5057,47.3686,17994200
2014,4/15/14,47.0114,47.3671,44.5857,46.61,30799300
2014,4/16/14,47.2929,47.71,46.1943,47.3443,16114700
2014,4/17/14,48.1086,49.9614,47.5,49.3914,32116000
2014,4/21/14,49.9,49.9143,48.3286,49.7843,47892600
2014,4/22/14,53.8043,54.4114,52.1186,53.2714,64702400
2014,4/23/14,51.8186,52.5,50.4286,50.5,40285000
2014,4/24/14,50.3571,50.8427,47.8286,49.1529,30639000
2014,4/25/14,48.2086,48.7728,46,46.0114,33071500
2014,4/28/14,45.4357,45.8429,42.7857,44.8871,47123300
2014,4/29/14,44.6057,46.3757,44.5757,45.6957,23132900
2014,4/30/14,45.4171,46.0571,44.3214,46.0057,23618700
2014,5/1/14,46.2929,49.3843,46.15,48.0741,37001300
2014,5/2/14,48.2157,49.1286,47.7214,48.6643,26194700
2014,5/5/14,48.2957,49.3543,48.0143,49.1971,20330800
2014,5/6/14,49.1029,49.6743,46.52,46.5986,22722700
2014,5/7/14,46.59,46.8344,45.0301,45.7914,25680900
2014,5/8/14,45.3086,47.3886,44.9086,45.9514,21168700
2014,5/9/14,46.0114,47.1343,45.3357,46.9357,17968300
2014,5/12/14,47.2657,49.3614,47.2171,49.35,21395500
